squarefoot,location,num_past_occupants,rent,building_type
1160,Suburb,2,5315.700719512927,Apartment
4072,Downtown,4,21588.912281750396,House
3392,Suburb,2,13223.827804108572,House
766,Downtown,6,5259.090669598142,Apartment
4726,Rural,6,18101.24901421843,House
3744,Rural,1,12787.045899064207,Condo
3471,Suburb,6,18819.838587540613,Apartment
3219,Rural,5,12968.077485000664,Condo
430,Rural,9,2178.5539334298646,Apartment
1985,Suburb,8,10738.700247097717,Condo
1069,Downtown,8,7200.345908525731,Condo
2691,Suburb,1,10012.513073488703,House
2733,Downtown,6,18568.602454628748,Apartment
1484,Suburb,4,6372.171884622452,House
4855,Suburb,5,21577.177621689898,House
3685,Rural,0,12835.455774131906,Apartment
4417,Suburb,6,22105.872448692906,Condo
3204,Suburb,5,16781.300916106004,Apartment
774,Downtown,3,4671.663696837973,Apartment
1382,Rural,0,4826.277771043317,Apartment
2858,Downtown,8,17742.47689182408,House
2347,Downtown,3,14192.267078499679,Apartment
3047,Rural,1,11202.3730929284,Apartment
1275,Rural,7,6031.040491810845,Apartment
2106,Rural,1,7158.28927796538,Condo
489,Suburb,4,2280.035066884426,Condo
3034,Rural,5,12164.933827891653,Condo
3305,Rural,7,14439.776495916654,Condo
4958,Rural,0,14639.918983187981,House
2199,Downtown,0,9689.059263232342,House
1567,Downtown,3,9373.10246868246,Apartment
1828,Suburb,4,7724.06766448067,House
3502,Downtown,8,23619.578816619807,Condo
3856,Suburb,6,21017.63652025145,Apartment
4190,Downtown,6,28493.50250089018,Apartment
946,Rural,7,4151.182075841078,Condo
3188,Downtown,4,18536.66015256871,Condo
2735,Suburb,4,12727.55666165704,Condo
900,Downtown,0,4016.5672930142873,House
2663,Rural,8,13019.959784158562,Apartment
2361,Suburb,5,11394.444168923059,Condo
541,Rural,8,2635.9583547459415,Apartment
2341,Rural,2,9012.287116118901,Apartment
3124,Suburb,4,13230.570782254576,House
2912,Rural,1,10663.544586574411,Apartment
1663,Rural,9,7727.631163152469,Condo
1778,Downtown,4,10364.237418375624,Condo
2856,Rural,7,13485.862812168989,Apartment
1075,Rural,1,4044.4437167668234,Apartment
4314,Rural,7,17152.827390518232,House
334,Rural,3,1204.3143519440232,Condo
3452,Suburb,9,19344.3042822834,Condo
2255,Downtown,9,17073.192536138904,Apartment
1885,Rural,0,6602.580945533645,Apartment
4243,Rural,4,17759.1679366052,Apartment
3373,Suburb,0,13009.22527767438,Condo
1321,Rural,6,6045.069635835876,Apartment
3761,Suburb,7,17892.018359502425,House
